weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale Hb_params-v_0 Hb_params-I01_spec1 Hb_params-I01_spec2 Hb_params-I01_spec3 O3a_params-v_0 O3a_params-I01_spec1 O3a_params-I01_spec2 O3a_params-I01_spec3 O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
1.739855502846278373e-05 -4.145805733231231898e+03 -5.665459823608871848e-02 1.197580667578184432e-01 -5.726922860366943091e-01 1.741820826349641322e+02 5.999822456736622067e-01 1.105089046797382624e+00 5.146851125011026262e+00 -1.949983294307153781e-01 -6.291521322684978657e-02 1.622122589540569315e+00 -3.126080603918171619e+01 4.809901078362310756e+01 1.626363402761787924e+01 8.292584113580015526e+01 -3.348044366318026732e+01 1.987949940804645266e+00 2.192701838246602364e+00 4.918286662755300398e+01 -2.796578992604119662e+01 1.063198962223710353e+01 2.373850837110669332e+01 1.909521245552849962e+02
1.594305258865197592e-05 -4.145893097229701198e+03 -6.582980340129848673e-02 1.216059120426815909e-01 -5.710249060343111083e-01 1.571651269603191565e+02 5.885006417302137693e-01 1.122943814485198644e+00 5.156297674514852325e+00 -2.049506061583670213e-01 -5.199479924804850661e-02 1.477248450598480201e+00 -2.884629705649035714e+01 4.687204706059200277e+01 1.706120912655439881e+01 7.908514548525002397e+01 -2.698131812775730509e+01 2.843445621046103433e+00 3.676199166214644265e+00 5.295836073754978202e+01 -2.675031751031568206e+01 1.006674900169901576e+01 2.400304325895197266e+01 2.107800961850018098e+02
1.410427508707880683e-05 -4.146015642440568627e+03 -7.311458374773945057e-02 1.357986371729134889e-01 -5.598615936261412962e-01 1.705992033448368375e+02 5.651733260469661291e-01 1.138527997810163450e+00 5.146951446776570904e+00 -1.970174588359046020e-01 -4.775987742083542820e-02 1.652093742191991899e+00 -2.925307327977120053e+01 5.027837813304181225e+01 1.627621778260601815e+01 8.250625446394965934e+01 -3.160247205033314799e+01 1.758873233776214740e+00 4.561577957663875971e+00 4.671798887037448367e+01 -2.693546118891828201e+01 8.829070535574023992e+00 2.453398983145183010e+01 1.897349063002587854e+02
1.679430657649289991e-05 -4.145841080454947587e+03 -6.192762857564089451e-02 1.480172721537546809e-01 -5.781239378324620759e-01 1.722678359244860644e+02 5.674890092722184587e-01 1.130870873491632400e+00 5.148096702128547086e+00 -1.961213352524686648e-01 -5.977131154429971005e-02 1.713924246019118192e+00 -3.074137288287059278e+01 4.426790204135677698e+01 1.698597161566151215e+01 8.483370346493302350e+01 -2.680138264111536728e+01 2.047258924302353122e+00 3.766556005226018300e+00 5.167864346459371916e+01 -2.679696759861536748e+01 9.907807818787528475e+00 2.536276502733980465e+01 1.970259823957571825e+02
1.851226184655282078e-05 -4.145743687074618720e+03 -3.707554927296016767e-02 1.166663908526172910e-01 -5.818237297631889682e-01 1.914955419237180081e+02 6.028206838558471947e-01 1.125849133525617995e+00 5.153728592569838618e+00 -2.063871635135079430e-01 -5.200234682287119270e-02 1.855459516944273135e+00 -2.982287004196888347e+01 4.709741881777596006e+01 1.653602568241041482e+01 7.648818964166959233e+01 -2.568128621984234883e+01 2.679568809142107710e+00 3.657396322728434512e+00 4.932297409812924371e+01 -2.616779648598478047e+01 8.595244778797695773e+00 2.706464742567682435e+01 2.019428069551861711e+02
2.963260381367708088e-05 -4.145273245154325195e+03 -6.585156575696078651e-02 1.197832386599111121e-01 -5.833455382164878245e-01 1.964372681967473113e+02 6.035333177869908194e-01 1.112598663502784024e+00 5.152039216454388892e+00 -1.905157482681165693e-01 -5.445464607547134683e-02 1.955527017841605986e+00 -2.964733451005156439e+01 4.834582284818900177e+01 1.483281701951877452e+01 7.631695716372077243e+01 -2.762983425522114089e+01 1.636792186972102492e+00 4.477206558030411010e+00 5.432371702077520581e+01 -2.809668158213122524e+01 8.692612086053763676e+00 2.464018403421408721e+01 2.077017050542418986e+02
2.238124667596433782e-05 -4.145553896983416962e+03 -6.160745239045388455e-02 1.117696058646687474e-01 -5.697181178529291401e-01 1.731241818066583846e+02 5.998012329706549073e-01 1.108741230099232089e+00 5.142252538077256574e+00 -2.089374685448803781e-01 -5.181440275114868044e-02 1.628375718176995557e+00 -3.062550241379193494e+01 4.709208681541853991e+01 1.552891303454750904e+01 8.474533771008718475e+01 -2.520268666106193223e+01 2.437716403118961317e+00 3.883293755870487196e+00 5.399153209134621534e+01 -2.717628539083111150e+01 7.761945196639197242e+00 2.465280802973923713e+01 2.022305951198619596e+02
1.891308960626112841e-05 -4.145722266135554491e+03 -7.799819741024001385e-02 1.311730476438961734e-01 -5.859012837614208102e-01 1.603511351901393311e+02 5.850060816986446532e-01 1.110831009632309074e+00 5.146246393981448009e+00 -2.159002426102465400e-01 -4.623306638727120443e-02 1.472651710460246566e+00 -2.839434601744437714e+01 4.722372222116133855e+01 1.688126067858885904e+01 7.975194667170815421e+01 -3.008366900711473590e+01 2.565612273899620099e+00 3.760789849803769513e+00 5.105824654595891587e+01 -2.851943276339258659e+01 1.096034249431709995e+01 2.496944536539791315e+01 2.029833158246525784e+02
1.858240067991972678e-05 -4.145739905456877750e+03 -5.781227402087016354e-02 1.291198951426541786e-01 -5.969049867136524412e-01 1.741963577850889635e+02 5.707118474851257117e-01 1.139215138758062462e+00 5.149518737394304324e+00 -1.969697883933756444e-01 -4.401560144442107081e-02 1.624043577027935559e+00 -3.025055348591814663e+01 4.929759226713337483e+01 1.645729868726686362e+01 7.400179170342092050e+01 -3.272526958082880810e+01 1.825130443303013550e+00 3.809953515218400533e+00 5.298131962864172095e+01 -2.909741292924476852e+01 1.056327163740422570e+01 2.661442356549570576e+01 2.059493912409427026e+02
1.510265409355776322e-05 -4.145947249893501976e+03 -6.779396091115245937e-02 1.012149033785815500e-01 -5.545152596268110301e-01 1.612616716955820380e+02 6.081782045676908943e-01 1.094128076925866999e+00 5.144947604301817634e+00 -2.077145214886508828e-01 -5.743227939647455038e-02 1.406966980752053287e+00 -3.107650705670556590e+01 4.271268145034834163e+01 1.650959277695251970e+01 8.148412829574603222e+01 -2.967651508822456208e+01 2.080365886619750526e+00 5.270686120944723108e+00 5.280810703420502250e+01 -2.756551658344210409e+01 9.260393862643878649e+00 2.482699199000104784e+01 1.980354811130147255e+02
